node,x,y,latitude,longitude
91646,443527,4401760.5,39.7638973,-123.659321
93804,445685,4401760.5,39.7640377,-123.634128
95316,443056,4401759.5,39.7638569,-123.664819
95882,443622,4401759.5,39.7638946,-123.658212
144462,446651,4401748.5,39.7639906,-123.622849
213975,445767,4401731.5,39.7637816,-123.633168
220340,443850,4401729.5,39.7636394,-123.655547
242809,445614,4401724.5,39.7637088,-123.634954
257723,443964,4401720.5,39.7635658,-123.654216
259098,445339,4401720.5,39.7636552,-123.638164
259765,446006,4401720.5,39.7636977,-123.630377
296941,445913,4401711.5,39.7636107,-123.631462
314870,443137,4401706.5,39.7633848,-123.663869
322590,446716,4401705.5,39.7636073,-123.622087
326547,446532,4401704.5,39.7635867,-123.624235
332335,444038,4401702.5,39.7634085,-123.65335
441887,445924,4401676.5,39.7632961,-123.631331
450490,446245,4401674.5,39.7632984,-123.627583
574170,445695,4401644.5,39.7629932,-123.634001
603850,446388,4401637.5,39.762974,-123.625911
604291,446829,4401637.5,39.7630017,-123.620762
609439,443695,4401635.5,39.7627822,-123.657349
716054,446785,4401610.5,39.7627557,-123.621274
736599,446625,4401605.5,39.7627006,-123.623141
740759,446644,4401604.5,39.7626928,-123.622919
742066,443810,4401603.5,39.7625015,-123.656003
760819,445999,4401599.5,39.7626071,-123.630449
793955,446007,4401591.5,39.7625355,-123.630355
848685,446904,4401578.5,39.7624748,-123.619882
863053,444708,4401574.5,39.762299,-123.645518
869970,443343,4401572.5,39.7621913,-123.661453
894498,443025,4401566.5,39.762116,-123.665164
898394,446921,4401566.5,39.7623677,-123.619682
906546,446791,4401564.5,39.7623416,-123.6212
907139,443243,4401563.5,39.7621035,-123.662619
921029,444710,4401560.5,39.762173,-123.645493
926862,446402,4401559.5,39.7622722,-123.625741
933715,444973,4401557.5,39.762163,-123.642423
936050,443167,4401556.5,39.7620354,-123.663506
961309,443580,4401550.5,39.7620088,-123.658684
969351,443340,4401548.5,39.7619749,-123.661486
970613,444602,4401548.5,39.7620579,-123.646753
1018776,443073,4401536.5,39.7618489,-123.664601
1021884,446181,4401536.5,39.762051,-123.628319
1053278,444447,4401528.5,39.7618676,-123.648561
1055720,446889,4401528.5,39.7620234,-123.620053
1056157,443185,4401527.5,39.7617753,-123.663293
1062450,445337,4401526.5,39.7619072,-123.638171
1076441,446905,4401523.5,39.7619793,-123.619866
1143576,443643,4401506.5,39.7616166,-123.657945
1148493,444419,4401505.5,39.7616585,-123.648886
1153701,445486,4401504.5,39.7617185,-123.63643
1227304,444551,4401486.5,39.761496,-123.647343
1274696,446392,4401475.5,39.7615147,-123.625851
1288701,443833,4401471.5,39.7613138,-123.655724
1320899,447044,4401464.5,39.7614564,-123.618238
1323764,445768,4401463.5,39.7613671,-123.633134
1357312,446188,4401455.5,39.7613217,-123.62823
1359924,444659,4401454.5,39.7612147,-123.64608
1360742,445477,4401454.5,39.7612674,-123.63653
1414943,445845,4401441.5,39.7611738,-123.632233
1427666,446145,4401438.5,39.7611658,-123.628731
1452875,446508,4401432.5,39.7611346,-123.624493
